sweep,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.015088,0.000420,0.001050,0.016558,16,512,396,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.037514,0.000974,0.002300,0.040788,16,1024,534,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035983,0.000994,0.002211,0.039189,16,1024,822,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035512,0.000970,0.002223,0.038704,16,1024,244,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.112671,0.003022,0.005410,0.121103,16,2048,1308,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.100178,0.002679,0.004924,0.107781,16,2048,607,516,0.992248
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.099419,0.002691,0.004979,0.107090,16,2048,1833,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.377456,0.008654,0.011593,0.397703,16,4096,1084,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.362773,0.008596,0.011862,0.383231,16,4096,851,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.366149,0.008342,0.011834,0.386325,16,4096,2466,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.777631,0.024501,0.027119,1.829250,16,8192,4370,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.811774,0.024304,0.026868,1.862946,16,8192,2986,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.802944,0.024058,0.026970,1.853972,16,8192,1867,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.853312,0.095837,0.073419,11.022567,16,16384,6143,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.810789,0.098369,0.076388,10.985546,16,16384,8907,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.896471,0.089373,0.073686,11.059529,16,16384,15845,4100,0.999024
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.016335,0.000509,0.001255,0.018100,16,2048,811,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015546,0.000642,0.001192,0.017380,16,2048,1399,132,0.969697
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.016722,0.000482,0.001189,0.018394,16,2048,1932,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.043837,0.001190,0.002594,0.047620,16,4096,3606,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.046640,0.001255,0.002747,0.050641,16,4096,3894,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.041030,0.001146,0.002551,0.044727,16,4096,2292,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.137220,0.003480,0.006615,0.147315,16,8192,3356,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.122134,0.003527,0.006144,0.131805,16,8192,6751,516,0.992248
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.132521,0.003403,0.006588,0.142512,16,8192,7977,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.500066,0.011360,0.015540,0.526967,16,16384,9276,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.484949,0.011559,0.015984,0.512492,16,16384,13139,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.486552,0.011124,0.016298,0.513974,16,16384,10658,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,2.268912,0.030832,0.035509,2.335253,16,32768,4370,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.798382,0.024950,0.027689,1.851021,16,32768,2986,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.815091,0.026114,0.028296,1.869501,16,32768,26443,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.852504,0.088079,0.072417,11.013000,16,65536,55295,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.836978,0.085495,0.070563,10.993037,16,65536,41675,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.925761,0.090009,0.072231,11.088002,16,65536,48613,4100,0.999024
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014729,0.000468,0.001134,0.016331,16,8192,811,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015179,0.000603,0.001102,0.016884,16,8192,5495,132,0.969697
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014767,0.000546,0.001042,0.016355,16,8192,6028,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.037864,0.000985,0.002324,0.041173,16,16384,15894,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035523,0.001039,0.002222,0.038784,16,16384,7990,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035535,0.001002,0.002285,0.038821,16,16384,10484,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.110000,0.002837,0.005551,0.118388,16,32768,19740,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.112122,0.002881,0.005413,0.120415,16,32768,23135,516,0.992248
